State Name,Income,Avg Literacy Score,Attained BS or higher,population,Electoral Votes,EV for Kamala,EV for Trump,Votes for Kamala,Votes for Trump,Votes for Kennedy,Votes for Oliver,Votes of Stein,Total Votes,affectweather,attrdroughts,attrflood,attrheat,attrhurricanes,attrsealevels,attrwatershortages,attrwildfires,consensus,devharm,drillanwr,drilloffshore,happening,human,timing
Indiana,60038,220,30.2,5215683,11,11,0,"1,163,603","1,720,347","29,325","20,425",0,"2,936,677",58.756,53.697,51.849,56.577,49.427,50.247,46.957,53.558,49.091,60.92,36.313,58.86,64.308,51.836,51.049
Iowa,62351,215,31.5,2459358,6,6,0,"707,278","927,019","13,122","7,218",0,"1,663,506",61.315,54.387,48.536,57.569,50.824,50.329,47.45,54.797,55.347,65.511,35.879,53.74,67.448,54.186,50.805
Kansas,63732,213,35.8,2232747,6,6,0,"544,853","758,802","16,322","7,614",0,"1,327,591",60.338,54.395,48.058,56.74,49.608,50.39,47.859,54.05,50.761,63.506,40.364,58.136,67.406,53.344,51.154
Kentucky,54326,218,27.8,3487980,8,8,0,"704,043","1,337,494","16,769","6,422","7,566","2,074,530",54.045,47.487,42.415,51.849,45.169,43.262,40.282,46.483,45.91,58.372,38.653,61.203,61.182,49.034,48.096
Louisiana,57100,216,27,3532365,8,8,0,"766,870","1,208,505","6,641","6,835","7,138","2,006,975",57.678,55.278,48.61,57.124,49.671,47.915,46.744,55.56,45.772,60.433,39.573,68.146,63.456,49.465,53.533
Maine,63117,210,37,1125516,4,1,3,"435,652","377,977",0,"5,286","8,967","831,375",69.011,64.128,61.179,65.944,56.611,59.526,55.291,66.555,59.617,70.066,30.127,51.962,72.318,58.691,58.487
Maryland,73849,216,43.7,4794803,10,0,10,"1,902,577","1,035,550","28,819","15,570","33,134","3,038,334",72.252,65.065,65.541,70.153,66.379,64.95,59.354,68.116,64.896,73.338,26.363,46.347,77.712,64.782,63.572
Massachusetts,87812,225,47.8,5623987,11,0,11,"2,126,518","1,251,303",0,"17,735","26,545","3,473,668",75.226,72.897,72.053,75.354,68.585,69.937,65.399,75.395,67.85,74.665,26.304,45.213,78.116,66.313,65.907
Michigan,59714,209,32.7,7896801,15,15,0,"2,736,533","2,816,636","26,785","22,440","44,607","5,664,186",66.356,56.353,54.901,58.602,53.486,55.271,51.009,58.766,54.855,65.241,32.911,54.2,70.213,58.814,55.418
Minnesota,71866,214,40,4396459,10,0,10,"1,656,979","1,519,032","24,001","15,155","16,275","3,253,920",68.624,63.805,57.986,66.035,60.919,58.69,55.545,63.685,61.939,70.178,32.188,49.691,73.229,59.87,56.924
Mississippi,48110,219,25.5,2259104,6,6,0,"466,668","747,744","5,387","2,536","1,873","1,228,008",50.618,45.556,44.559,52.385,47.784,44.818,40.645,47.204,45.287,54.266,40.793,68.676,60.121,51.206,51.108
Missouri,61302,212,33.2,4781612,10,10,0,"1,200,599","1,751,986",0,"23,876","17,135","2,995,327",58.904,51.808,49.535,54.785,47.529,50.729,46.725,53.472,51.28,62.632,36.144,58.731,66.61,54.397,52.766
Montana,63918,217,34.6,870130,4,4,0,"231,906","352,079","11,825","4,275","2,878","602,990",61.023,57.477,50.306,58.65,52.478,51.887,53.06,61.549,53.463,62.736,35.715,53.373,66.707,51.922,50.136
Nebraska,67800,212,35.3,1481178,5,4,1,"369,995","564,816",0,"6,399","2,887","952,182",58.69,52.902,47.08,56.291,49.314,49.633,47.102,53.273,51.317,62.689,36.939,57.042,66.317,53.013,50.36
Nevada,65168,213,28.7,2448129,6,6,0,"705,197","751,205",0,"6,059",0,"1,484,840",66.105,62.949,57.496,65.943,55.207,55.695,57.108,65.21,56.073,67.427,35.67,53.76,71.634,57.452,57.731
New Hampshire,77260,221,40.7,1130929,4,0,4,"418,488","395,523",0,"4,425","3,680","826,189",68.817,61.228,63.02,65.175,58.449,59.802,56.048,65.836,61.15,70.343,31.834,50.493,73.344,61.647,58.81
New Jersey,80724,222,43.8,7235695,14,0,14,"2,220,713","1,968,215","23,479","10,500","39,041","4,272,725",72.425,65.897,67.64,71.857,68.804,66.271,60.211,69.413,64.29,74.824,31.358,48.324,77.21,65.289,60.269
New Mexico,54428,201,31.6,1648150,5,0,5,"478,802","423,391","9,553","3,745","4,611","923,403",65.317,66.446,57.311,68.336,58.345,55.024,57.712,65.802,56.729,68.802,34.601,48.593,70.65,56.829,56.618
New York,79581,215,40.6,15763043,28,0,28,"4,619,195","3,578,899",0,"5,338","46,698","8,262,495",73.314,67.668,67.701,71.837,66.255,69.739,62.581,71.796,63.753,72.674,29.324,51.097,76.981,64.297,63.299
North Carolina,60484,213,36.8,8261517,16,16,0,"2,715,375","2,898,423",0,"22,125","24,762","5,699,141",63.702,55.47,56.263,61.919,58.078,56.225,51.516,58.87,55.31,66.398,35.632,55.06,71.299,58.154,57.122
North Dakota,73341,216,33.6,594567,3,3,0,"112,327","246,505",0,"6,227",0,"368,155",52.453,48.637,39.707,49.331,42.137,44.669,41.565,47.81,44.934,55.705,44.145,67.318,59.614,45.618,44.815
Ohio,60402,216,32,9169868,17,17,0,"2,533,699","3,180,116",0,"28,200",0,"5,767,788",62.641,55.4,55.436,59.298,53.259,52.969,48.807,56.638,53.986,63.216,36.891,57.557,67.846,56.051,53.943
Oklahoma,58499,207,28.7,3031879,7,7,0,"499,599","1,036,213","16,020","9,198",0,"1,566,173",54.995,50.374,48.716,53.958,44.853,45.863,46.434,52.201,46.233,59.601,42.285,59.487,64.454,51.384,51.328
Oregon,65426,207,37.7,3382421,8,0,8,"1,240,600","919,480","33,733","9,061","19,099","2,244,493",70.19,67.723,62.802,70.345,61.626,61.755,61.375,70.086,63.892,73.275,27.664,41.463,74.881,61.627,62.675
Pennsylvania,67839,216,35.3,10312708,19,19,0,"3,423,042","3,543,308",0,"33,318","34,538","7,058,732",63.625,57.351,55.405,60.071,55.842,57.475,49.614,60.243,56.827,65.715,33.758,55.547,69.189,58.015,54.115
Rhode Island,66480,216,39,886890,4,0,4,"285,156","214,406","5,045","1,617","2,900","513,386",69.504,62.077,64.263,66.026,57.796,60.245,56.765,66.154,61.136,71.292,30.931,49.416,74.028,62.233,60.615
South Carolina,56123,215,32.9,4085713,9,9,0,"1,028,452","1,483,747",0,"12,669","8,117","2,548,140",58.284,49.914,50.833,56.203,53.017,51.035,46.838,52.478,51.422,62.634,35.951,56.716,67.574,53.66,53.423
South Dakota,70353,214,33.3,679374,3,3,0,"146,859","272,081","7,204","2,778",0,"428,922",57.16,48.874,45.14,51.809,47.318,47.841,45.194,50.565,49.861,60.888,40.756,60.826,65.034,52.091,48.437
Tennessee,61049,215,31.7,5428078,11,11,0,"1,056,265","1,966,865","21,535",0,"8,967","3,063,942",53.583,47.348,47.499,51.651,47.95,46.481,42.994,48.013,48.437,58.528,38.623,60.408,61.512,53.107,51.529
Texas,65422,212,34.2,22157813,40,40,0,"4,835,250","6,393,597",0,"68,557","82,701","11,388,674",62.807,60.605,57.88,62.983,56.826,54.79,54.668,61.475,53.451,66.547,34.202,56.98,70.766,57.962,58.307
Utah,62823,219,38.4,2387055,6,6,0,"562,566","883,818",0,"16,902","8,222","1,488,494",62.113,60.448,53.809,61.385,54.113,53.992,55.777,62.614,54.559,62.474,37.203,51.424,68.678,52.755,52.011
Vermont,66463,213,43.7,528078,3,0,3,"235,791","119,395","5,905","1,828",893,"369,422",73.544,68.606,67.334,70.833,62.698,63.977,60.131,71.137,64.871,73.625,28.447,45.057,75.296,63.806,62.38
Virginia,72855,214,42.4,6763515,13,0,13,"2,333,778","2,074,097",0,"19,802","34,880","4,503,288",68.29,59.372,59.553,66.258,62.041,60.279,56.04,62.444,61.443,69.084,34.067,51.661,73.84,60.681,58.886
Washington,79659,216,40.5,6065088,12,0,12,"2,245,849","1,530,923","54,868","16,428","29,754","3,924,243",72.039,66.524,63.057,67.742,61.015,63.127,61.73,70.637,65.598,73.639,27.072,41.129,76.221,63.081,63.52
West Virginia,52585,206,24,1425052,4,4,0,"214,309","533,556","8,947","3,047","2,531","762,582",50.44,43.962,39.264,46.556,40.904,41.473,38.405,43.072,42.207,54.285,40.116,60.372,58.537,42.864,43.964
Wisconsin,63963,215,33.8,4617712,10,10,0,"1,668,229","1,697,626","17,740","10,511","12,275","3,422,918",64.328,56.886,56.544,58.499,54.824,54.399,51.214,58.904,56.43,66.363,32.914,56.131,68.933,57.762,54.185
Wyoming,77837,222,30.4,447401,3,3,0,"69,527","192,633",0,"4,193",0,"269,048",51.402,51.6,41.185,50.804,42.453,44.803,46.105,53.373,44.094,52.841,44.452,64.35,57.911,43.303,44.329
