State Name,Income,Avg Literacy Score,Attained BS or higher,population,Electoral Votes,EV for Kamala,EV for Trump,Votes for Kamala,Votes for Trump,Votes for Kennedy,Votes for Oliver,Votes of Stein,Total Votes,affectweather,attrdroughts,attrflood,attrheat,attrhurricanes,attrsealevels,attrwatershortages,attrwildfires,consensus,devharm,drillanwr,drilloffshore,happening,human,timing
Iowa,62351,215,31.5,2459358,6,6,0,707278,927019,13122,7218,0,1663506,61.315,54.387,48.536,57.569,50.824,50.329,47.45,54.797,55.347,65.511,35.879,53.74,67.448,54.186,50.805
Kansas,63732,213,35.8,2232747,6,6,0,544853,758802,16322,7614,0,1327591,60.338,54.395,48.058,56.74,49.608,50.39,47.859,54.05,50.761,63.506,40.364,58.136,67.406,53.344,51.154
Kentucky,54326,218,27.8,3487980,8,8,0,704043,1337494,16769,6422,7566,2074530,54.045,47.487,42.415,51.849,45.169,43.262,40.282,46.483,45.91,58.372,38.653,61.203,61.182,49.034,48.096
Louisiana,57100,216,27,3532365,8,8,0,766870,1208505,6641,6835,7138,2006975,57.678,55.278,48.61,57.124,49.671,47.915,46.744,55.56,45.772,60.433,39.573,68.146,63.456,49.465,53.533
Maine,63117,210,37,1125516,4,1,3,435652,377977,0,5286,8967,831375,69.011,64.128,61.179,65.944,56.611,59.526,55.291,66.555,59.617,70.066,30.127,51.962,72.318,58.691,58.487
Maryland,73849,216,43.7,4794803,10,0,10,1902577,1035550,28819,15570,33134,3038334,72.252,65.065,65.541,70.153,66.379,64.95,59.354,68.116,64.896,73.338,26.363,46.347,77.712,64.782,63.572
Massachusetts,87812,225,47.8,5623987,11,0,11,2126518,1251303,0,17735,26545,3473668,75.226,72.897,72.053,75.354,68.585,69.937,65.399,75.395,67.85,74.665,26.304,45.213,78.116,66.313,65.907
Michigan,59714,209,32.7,7896801,15,15,0,2736533,2816636,26785,22440,44607,5664186,66.356,56.353,54.901,58.602,53.486,55.271,51.009,58.766,54.855,65.241,32.911,54.2,70.213,58.814,55.418
Minnesota,71866,214,40,4396459,10,0,10,1656979,1519032,24001,15155,16275,3253920,68.624,63.805,57.986,66.035,60.919,58.69,55.545,63.685,61.939,70.178,32.188,49.691,73.229,59.87,56.924
Mississippi,48110,219,25.5,2259104,6,6,0,466668,747744,5387,2536,1873,1228008,50.618,45.556,44.559,52.385,47.784,44.818,40.645,47.204,45.287,54.266,40.793,68.676,60.121,51.206,51.108
Missouri,61302,212,33.2,4781612,10,10,0,1200599,1751986,0,23876,17135,2995327,58.904,51.808,49.535,54.785,47.529,50.729,46.725,53.472,51.28,62.632,36.144,58.731,66.61,54.397,52.766
Montana,63918,217,34.6,870130,4,4,0,231906,352079,11825,4275,2878,602990,61.023,57.477,50.306,58.65,52.478,51.887,53.06,61.549,53.463,62.736,35.715,53.373,66.707,51.922,50.136
Nebraska,67800,212,35.3,1481178,5,4,1,369995,564816,0,6399,2887,952182,58.69,52.902,47.08,56.291,49.314,49.633,47.102,53.273,51.317,62.689,36.939,57.042,66.317,53.013,50.36
Nevada,65168,213,28.7,2448129,6,6,0,705197,751205,0,6059,0,1484840,66.105,62.949,57.496,65.943,55.207,55.695,57.108,65.21,56.073,67.427,35.67,53.76,71.634,57.452,57.731
New Hampshire,77260,221,40.7,1130929,4,0,4,418488,395523,0,4425,3680,826189,68.817,61.228,63.02,65.175,58.449,59.802,56.048,65.836,61.15,70.343,31.834,50.493,73.344,61.647,58.81
New Jersey,80724,222,43.8,7235695,14,0,14,2220713,1968215,23479,10500,39041,4272725,72.425,65.897,67.64,71.857,68.804,66.271,60.211,69.413,64.29,74.824,31.358,48.324,77.21,65.289,60.269
New Mexico,54428,201,31.6,1648150,5,0,5,478802,423391,9553,3745,4611,923403,65.317,66.446,57.311,68.336,58.345,55.024,57.712,65.802,56.729,68.802,34.601,48.593,70.65,56.829,56.618
New York,79581,215,40.6,15763043,28,0,28,4619195,3578899,0,5338,46698,8262495,73.314,67.668,67.701,71.837,66.255,69.739,62.581,71.796,63.753,72.674,29.324,51.097,76.981,64.297,63.299
North Carolina,60484,213,36.8,8261517,16,16,0,2715375,2898423,0,22125,24762,5699141,63.702,55.47,56.263,61.919,58.078,56.225,51.516,58.87,55.31,66.398,35.632,55.06,71.299,58.154,57.122
North Dakota,73341,216,33.6,594567,3,3,0,112327,246505,0,6227,0,368155,52.453,48.637,39.707,49.331,42.137,44.669,41.565,47.81,44.934,55.705,44.145,67.318,59.614,45.618,44.815
Ohio,60402,216,32,9169868,17,17,0,2533699,3180116,0,28200,0,5767788,62.641,55.4,55.436,59.298,53.259,52.969,48.807,56.638,53.986,63.216,36.891,57.557,67.846,56.051,53.943
Oklahoma,58499,207,28.7,3031879,7,7,0,499599,1036213,16020,9198,0,1566173,54.995,50.374,48.716,53.958,44.853,45.863,46.434,52.201,46.233,59.601,42.285,59.487,64.454,51.384,51.328
Oregon,65426,207,37.7,3382421,8,0,8,1240600,919480,33733,9061,19099,2244493,70.19,67.723,62.802,70.345,61.626,61.755,61.375,70.086,63.892,73.275,27.664,41.463,74.881,61.627,62.675
Pennsylvania,67839,216,35.3,10312708,19,19,0,3423042,3543308,0,33318,34538,7058732,63.625,57.351,55.405,60.071,55.842,57.475,49.614,60.243,56.827,65.715,33.758,55.547,69.189,58.015,54.115
Rhode Island,66480,216,39,886890,4,0,4,285156,214406,5045,1617,2900,513386,69.504,62.077,64.263,66.026,57.796,60.245,56.765,66.154,61.136,71.292,30.931,49.416,74.028,62.233,60.615
South Carolina,56123,215,32.9,4085713,9,9,0,1028452,1483747,0,12669,8117,2548140,58.284,49.914,50.833,56.203,53.017,51.035,46.838,52.478,51.422,62.634,35.951,56.716,67.574,53.66,53.423
South Dakota,70353,214,33.3,679374,3,3,0,146859,272081,7204,2778,0,428922,57.16,48.874,45.14,51.809,47.318,47.841,45.194,50.565,49.861,60.888,40.756,60.826,65.034,52.091,48.437
Tennessee,61049,215,31.7,5428078,11,11,0,1056265,1966865,21535,0,8967,3063942,53.583,47.348,47.499,51.651,47.95,46.481,42.994,48.013,48.437,58.528,38.623,60.408,61.512,53.107,51.529
Texas,65422,212,34.2,22157813,40,40,0,4835250,6393597,0,68557,82701,11388674,62.807,60.605,57.88,62.983,56.826,54.79,54.668,61.475,53.451,66.547,34.202,56.98,70.766,57.962,58.307
Utah,62823,219,38.4,2387055,6,6,0,562566,883818,0,16902,8222,1488494,62.113,60.448,53.809,61.385,54.113,53.992,55.777,62.614,54.559,62.474,37.203,51.424,68.678,52.755,52.011
Vermont,66463,213,43.7,528078,3,0,3,235791,119395,5905,1828,893,369422,73.544,68.606,67.334,70.833,62.698,63.977,60.131,71.137,64.871,73.625,28.447,45.057,75.296,63.806,62.38
Virginia,72855,214,42.4,6763515,13,0,13,2333778,2074097,0,19802,34880,4503288,68.29,59.372,59.553,66.258,62.041,60.279,56.04,62.444,61.443,69.084,34.067,51.661,73.84,60.681,58.886
Washington,79659,216,40.5,6065088,12,0,12,2245849,1530923,54868,16428,29754,3924243,72.039,66.524,63.057,67.742,61.015,63.127,61.73,70.637,65.598,73.639,27.072,41.129,76.221,63.081,63.52
West Virginia,52585,206,24,1425052,4,4,0,214309,533556,8947,3047,2531,762582,50.44,43.962,39.264,46.556,40.904,41.473,38.405,43.072,42.207,54.285,40.116,60.372,58.537,42.864,43.964
Wisconsin,63963,215,33.8,4617712,10,10,0,1668229,1697626,17740,10511,12275,3422918,64.328,56.886,56.544,58.499,54.824,54.399,51.214,58.904,56.43,66.363,32.914,56.131,68.933,57.762,54.185
Wyoming,77837,222,30.4,447401,3,3,0,69527,192633,0,4193,0,269048,51.402,51.6,41.185,50.804,42.453,44.803,46.105,53.373,44.094,52.841,44.452,64.35,57.911,43.303,44.329
