State Name,Income,Avg Literacy Score,Attained BS or higher,population,affectweatherOppose,attragripestsOppose,attrairpollutionOppose,attrdroughtsOppose,attrfloodOppose,attrheatOppose,attrhurricanesOppose,attrpoweroutagesOppose,attrsealevelsOppose,attrsnowpackOppose,attrtornadosOppose,attrwaterpollutionOppose,attrwatershortagesOppose,attrwildfiresOppose,citizensOppose,congressOppose,consensusOppose,corporationsOppose,devharmOppose,discussOppose,drillanwrOppose,drilloffshoreOppose,expOppose,fundrenewablesOppose,futuregenOppose,generaterenewableOppose,governorOppose,gwvoteimpOppose,happeningOppose,harmplantsOppose,harmusOppose,humanOppose,localofficialsOppose,mediaweeklyOppose,personalOppose,presidentOppose,prioritycleanenergyOppose,priorityOppose,rebatesOppose,reducetaxOppose,regulateOppose,teachgwOppose,timingOppose,transitioneconomyOppose,worriedOppose
Iowa,62351,215,31.5,2459358,6.849,33.471,36.013,29.595,34.968,29.736,32.206,38.693,31.675,31.396,35.148,40.094,33.298,30.825,16.726,24.857,24.798,15.034,24.125,66.918,64.121,46.26,58.863,25.491,20.112,27.43,20.882,42.587,16.555,22.961,33.866,31.107,19.979,73.68,54.275,23.389,13.917,26.612,26.508,37.331,30.296,25.299,49.195,40.329,42.492
Kansas,63732,213,35.8,2232747,6.948,33.886,35.378,30.276,34.694,30.31,33.219,39.506,33.05,31.9,35.74,39.191,33.296,31.942,17.19,25.787,25.015,15.852,25.546,68.025,59.636,41.864,58.173,26.746,22.228,27.674,21.274,41.209,17.318,23.984,34.098,34.137,20.044,74.274,52.842,23.766,14.531,30.444,26.789,38.06,31.316,26.836,48.846,42.551,43.199
Kentucky,54326,218,27.8,3487980,7.496,35.925,37.633,36.61,41.082,33.599,36.575,42.715,40.108,36.747,39.424,39.779,40.124,36.738,19.505,28.515,26.851,17.054,28.825,70.52,61.347,38.796,60.361,28.102,26.804,30.081,22.401,41.001,19.362,28.227,35.317,34.533,21.714,74.984,53.273,27.71,16.329,32.478,28.409,41.925,31.458,29.154,51.904,43.477,48.826
Louisiana,57100,216,27,3532365,7.013,28.789,33.992,27.515,33.447,26.421,31.264,37.756,31.179,30.616,35.111,35.17,31.745,29.291,19.219,27.691,24.339,16.278,23.496,70.502,60.427,31.855,55.985,32.958,22.2,31.256,21.574,38.734,16.714,24.012,31.242,36.291,20.138,77.973,45.97,25.049,14.9,27.997,31.544,39.378,34.018,26.875,46.467,41.862,44.159
Maine,63117,210,37,1125516,6.286,27.18,29.665,22.384,25.722,23.957,28.052,31.278,26.746,25.257,28.484,30.826,28.637,22.898,14.061,20.965,21.706,14.284,21.448,60.915,69.873,48.038,51.961,24.372,18.072,22.618,18.958,34.989,13.277,20.517,29.499,29.261,18.371,65.343,52.355,19.092,11.309,22.732,24.085,34.936,24.628,22.512,41.513,32.803,36.119
Maryland,73849,216,43.7,4794803,4.136,22.468,24.049,20.341,20.734,18.665,19.955,26.697,21.998,19.721,21.683,29.138,23.07,20.39,12.422,16.765,17.684,11.848,15.386,59.427,73.637,53.653,46.163,18.298,12.37,18.91,15.444,31.62,8.746,13.766,22.431,23.805,14.281,72.34,40.842,15.386,8.014,16.476,19.59,26.239,21.669,15.525,36.428,25.427,30.238
Massachusetts,87812,225,47.8,5623987,4.639,22.555,22.905,17.291,18.176,17.396,21.123,25.73,19.482,19.365,20.92,26.535,20.941,17.715,11.017,16.16,17.445,12.58,16.75,56.124,73.696,54.787,44.242,18.776,13.763,18.545,15.61,28.84,9.827,14.487,23.125,23.374,15.215,64.259,44.227,14.414,8.686,16.76,19.777,27.275,20.008,18.524,34.093,24.158,27.551
Michigan,59714,209,32.7,7896801,5.926,29.94,30.597,27.317,31.009,28.67,28.028,34.631,27.476,27.211,29.993,33.925,31.619,28.172,14.076,20.879,22.216,13.318,21.839,65.54,67.089,45.8,55.516,23.574,17.962,23.391,19.09,40.143,13.682,19.74,29.736,29.169,17.13,73.821,50.78,19.878,11.771,25.099,23.938,32.516,24.305,20.26,44.582,34.126,39.653
Minnesota,71866,214,40,4396459,5.633,27.752,30.795,22.655,27.717,23.975,25.858,31.972,25.272,25.698,28.636,35.226,26.331,24.169,13.664,20.806,21.38,12.538,20.966,61.859,67.812,50.309,52.686,22.05,17.209,23.21,19.227,37.276,12.83,19.044,30.154,28.764,17.82,69.317,52.364,18.804,10.974,24.622,24.633,32.255,26.343,22.488,43.076,33.271,35.905
Mississippi,48110,219,25.5,2259104,6.401,33.063,33.796,33.018,35.942,29.103,31.87,38.228,33.261,31.787,34.064,36.38,34.017,33.401,17.787,24.628,23.56,15.854,23.799,72.119,59.206,31.325,58.448,27.519,21.751,27.704,19.568,42.16,15.855,22.634,29.753,34.478,18.083,80.427,44.946,22.982,14.813,28.529,28.708,36.749,29.686,25.047,48.892,38.383,45.428
Missouri,61302,212,33.2,4781612,6.711,33.422,33.525,30.786,32.656,29.316,32.791,38.171,32.375,32.476,33.629,36.607,33.674,30.228,16.992,24.03,24.231,16.508,24.725,67.626,63.856,41.27,56.661,26.181,21.07,26.147,18.547,40.018,16.32,23.336,31.969,31.985,19.35,73.763,49.781,21.989,14.053,26.372,26.801,37.066,29.816,25.79,47.234,42.589,42.342
Montana,63918,217,34.6,870130,6.629,33.846,34.788,31.003,35.79,30.574,31.36,41.49,31.881,31.054,36.051,41.319,32.749,29.741,15.998,29.812,26.344,14.953,25.219,64.621,64.285,46.627,58.615,25.933,22.466,29.219,23.923,41.471,18.401,23.756,35.043,35.055,21.173,72.259,54.433,26.972,14.286,33.467,27.173,40.195,31.779,28.043,49.863,45.942,43.213
Nebraska,67800,212,35.3,1481178,7.062,35.475,36.057,32.195,38.556,31.646,33.985,42.687,34.254,33.074,36.319,40.296,35.226,33.155,17.423,26.161,25.365,16.879,25.406,68.681,63.062,42.958,59.001,27.181,23.097,27.952,20.566,42.298,17.504,24.606,34.693,34.9,20.229,74.575,54.387,24.343,15.277,31.741,29.148,38.426,31.553,27.582,49.64,45.559,43.939
Nevada,65168,213,28.7,2448129,5.843,27.466,27.639,25.632,28.835,23.5,27.906,34.499,31.552,27.409,29.415,28.483,29.767,24.024,15.313,23.067,23.092,15.242,21.145,64.152,64.33,46.24,49.656,24.953,18.917,23.91,18.728,32.834,14.107,20.981,26.978,28.304,19.144,69.885,43.201,20.699,11.722,25.522,24.709,36.748,26.645,23.372,42.269,31.943,37.043
New Hampshire,77260,221,40.7,1130929,6.02,29.619,28.879,24.662,25.494,24.667,28.172,33.691,27.759,25.028,27.065,31.608,29.314,24.662,13.296,19.852,20.93,14.398,21.021,60.554,68.166,49.508,51.236,22.246,17.287,20.876,17.109,36.808,12.966,19.512,28.824,26.488,17.255,67.319,51.809,18.036,11.361,21.41,23.756,32.841,23.228,21.978,41.19,31.014,33.798
New Jersey,80724,222,43.8,7235695,4.414,25.204,24.442,22.543,20.601,19.216,21.782,31.596,21.548,21.8,22.41,30.62,24.157,19.801,11.695,17.08,18.566,12.111,15.014,62.106,68.642,51.676,49.233,19.477,12.907,20.162,16.381,31.369,9.67,14.024,23.187,25.476,15.762,72.553,43.513,15.421,9.214,16.812,20.364,26,20.607,16.61,39.731,28.946,29.396
New Mexico,54428,201,31.6,1648150,6.123,25.087,29.179,20.788,25.511,21.042,27.442,28.913,27.993,25.107,30.865,28.641,25.692,22.169,15.698,25.06,23.686,15.099,20.685,60.769,65.398,51.407,51.069,26.045,19.329,24.999,21.429,33.446,14.419,20.86,27.637,28.335,19.666,69.936,43.502,22.137,12.233,25.88,26.503,38.004,28.47,25.79,43.382,30.403,36.857
New York,79581,215,40.6,15763043,4.099,23.013,21.815,21.484,21.584,19.206,20.833,30.181,20.498,21.159,21.047,28.063,23.053,18.251,11.611,16.351,18.021,11.723,16.379,60.674,70.676,48.903,46.368,18.844,13.29,20.585,17.173,25.683,9.99,14.379,22.605,26.408,15.956,69.369,41.009,14.69,8.921,18.555,20.654,25.721,20.082,16.827,36.7,28.617,29.239
North Carolina,60484,213,36.8,8261517,5.438,28.677,29.43,27.529,28.125,24.624,27.203,34.755,29.247,26.744,28.29,33.439,28.719,25.742,15.896,21.821,21.619,15.366,21.023,64.178,64.368,44.94,52.217,23.866,18.963,22.351,19.717,36.396,13.135,19.765,28.378,29.71,16.944,73.815,45.995,20.107,11.792,23.735,25.378,32.828,26.004,21.142,42.878,34.213,38.012
North Dakota,73341,216,33.6,594567,8.359,38.379,41.905,36.843,45.028,37.459,38.911,46.337,37.728,39.374,44.182,46.478,40.678,38.816,20.203,33.002,29.118,17.387,31.679,72.187,55.856,32.683,64.445,31.891,28.037,34.115,23.879,45.451,22.703,29.464,40.49,41.662,23.235,76.5,57.602,30.863,18.038,36.907,30.795,44.354,37.369,32.551,55.185,54.37,51.069
Ohio,60402,216,32,9169868,6.487,32.218,31.537,28.079,28.875,26.237,31.471,35.644,28.944,27,32.233,33.975,33.196,28.324,15.605,23.243,23.713,14.696,23.419,67.481,63.108,42.443,56.263,26.455,20.78,24.641,18.039,39.954,15.088,22.494,31.065,31.543,18.163,73.913,51.116,21.607,13.656,28.146,26.801,35.317,26.605,25.878,46.057,38.118,42.235
Oklahoma,58499,207,28.7,3031879,7.66,36.422,35.337,34.861,35.94,32.407,37.478,41.559,38.142,34.459,37.712,37.752,36.255,33.449,19.342,27.6,26.496,17.442,26.969,70.152,57.715,40.512,56.488,28.954,25.246,29.621,19.075,40.075,20.16,27.001,34.3,34.041,21.663,76.748,50.307,27.126,16.668,29.476,28.665,40.992,32.882,30.4,48.672,43.818,44.714
Oregon,65426,207,37.7,3382421,5.295,24.891,26.698,20.588,22.612,20.446,24.908,29.488,26.138,23.049,25.517,29.219,25.214,20.224,14.409,21.701,20.129,13.947,18.56,55.359,72.336,58.537,44.806,22.156,16.967,20.686,23.799,30.591,12.611,18.489,26.982,26.108,19.625,62.425,46.851,18.625,10.298,23.492,24.009,32.694,24.49,21.815,37.325,28.471,33.328
Pennsylvania,67839,216,35.3,10312708,5.652,29.38,30.078,28.267,29.907,27.875,27.089,37.139,27.006,27.757,28.949,34.874,31.883,26.861,14.438,22.415,22.123,13.718,22.607,66.147,66.242,44.453,56.465,24.958,20.016,24.399,20.22,35.978,14.482,20.532,30.421,29.869,18.544,72.935,50.172,19.797,11.575,25.705,24.637,32.258,25.508,24.306,45.885,39.262,38.275
Rhode Island,66480,216,39,886890,5.872,28.284,26.937,24.134,24.365,23.261,27.896,31.457,27.548,24.084,25.923,28.174,28.141,23.286,13.536,18.481,20.318,14.842,19.77,61.397,69.069,50.585,49.088,22.426,16.628,20.253,16.242,34.227,12.371,18.682,26.227,25.562,16.8,68.278,46.883,16.968,11.213,19.288,22.573,32.38,22.774,21.026,39.385,29.556,32.585
South Carolina,56123,215,32.9,4085713,6.142,31.598,32.419,31.528,31.551,27.784,30.757,36.29,32.21,29.841,32.198,36.235,31.669,31.743,17.546,23.835,23.572,15.711,21.998,68.807,64.049,43.285,56.087,25.898,20.012,25.21,18.801,39.696,14.926,22.072,30.707,31.659,18.04,76.894,47.309,22.81,13.31,26.8,26.983,36.256,29.179,24.725,46.577,36.422,42.044
South Dakota,70353,214,33.3,679374,7.25,39.098,37.431,37.084,41.377,35.519,36.207,46.097,36.248,35.633,37.873,43.206,38.699,36.238,17.939,27.315,26.19,17.538,26.948,69.91,59.244,39.175,60.789,26.702,24.098,28.775,20.327,44.569,18.711,24.613,35.576,34.924,20.618,76.41,53.476,25.673,16.144,29.784,28.6,38.906,32.289,27.339,51.563,47.067,45.29
Tennessee,61049,215,31.7,5428078,6.713,35.909,33.53,35.978,35.567,32.659,34.6,41.633,37.323,33.814,34.986,36.295,38.137,35.677,18.65,26.205,24.653,17.957,25.435,69.674,61.377,39.592,56.478,27.231,23.507,26.294,19.416,39.301,17.884,24.416,31.66,31.802,19.503,75.446,48.575,23.96,16.598,32.293,27.535,38.159,29.239,29.942,48.471,41.976,45.614
Texas,65422,212,34.2,22157813,5.978,27.882,29.22,24.567,26.68,23.279,28.529,32.221,28.418,25.973,29.608,31.71,28.284,24.846,16.825,24.304,21.939,16.298,21.166,66.999,65.798,43.02,50.136,28.223,18.809,26.043,18.266,34.081,14.309,20.123,27.799,29.818,18.579,75.204,42.695,21.67,13.838,25.164,28.855,34.003,29.787,24.131,41.693,35.765,36.7
Utah,62823,219,38.4,2387055,6.429,33.504,32.552,27.873,30.949,26.837,31.506,38.538,30.349,28.259,34.77,38.928,29.344,27.664,15.717,28.778,25.979,15.321,25.762,64.432,62.797,48.575,56.325,25.018,23.87,28.594,21.179,38.057,17.662,24.104,33.401,33.843,20.961,71.505,50.863,26.125,14.473,32.585,25.854,39.737,31.186,27.434,47.988,41.415,41.627
Vermont,66463,213,43.7,528078,5.554,24.213,26.586,18.834,20.284,20.111,24.273,27.243,23.359,21.05,24.082,27.683,23.833,19.483,12.301,17.675,19.427,12.862,19.2,57.277,71.553,54.943,47.601,21.594,15.567,19.245,17.809,32.766,11.317,17.802,26.689,24.777,16.708,61.771,50.436,15.87,9.469,18.382,22.428,31.263,21.539,20.567,37.62,26.154,31.174
Virginia,72855,214,42.4,6763515,4.964,26.918,28.108,25.819,26.588,21.575,24.432,33.263,25.668,23.393,26.576,33.515,26.047,26.189,14.939,21.093,20.423,14.55,19.862,60.582,65.933,48.339,50.552,19.965,16.931,21.55,18.714,34.861,11.72,17.97,27.669,26.837,16.325,72.789,45.01,19.353,10.205,22.606,23.089,30.618,25.077,21.496,41.114,29.527,35.038
Washington,79659,216,40.5,6065088,4.981,25.358,25.731,22.52,23.204,22.627,23.892,29.83,25.82,22.311,24.441,29.298,25.997,21.007,13.703,21.13,19.364,13.507,18.831,55.22,72.928,58.871,44.083,20.639,16.522,19.922,23.297,30.415,11.639,17.619,25.863,24.758,18.838,63.964,47.038,18.048,9.961,21.194,22.851,30.909,24.121,20.662,36.48,29.626,31.992
West Virginia,52585,206,24,1425052,8.532,38.843,41.997,38.653,42.674,37.675,41.59,44.748,40.373,39.575,45.206,45.426,38.889,39.375,22.478,34.125,30.587,18.721,30.943,72.813,59.884,39.627,65.046,32.337,28.427,34.46,22.63,43.849,24.074,31.813,40.497,38.844,24.015,77.322,54.335,34.019,18.495,35.736,31.467,47.083,36.391,32.634,56.036,51.72,53.78
Wisconsin,63963,215,33.8,4617712,6.261,31.156,31.963,28.042,29.491,29.673,29.286,38.276,29.408,29.075,31.555,35.103,31.197,28.07,14.594,22.693,23.172,13.399,22.298,65.59,67.086,43.87,56.56,24.313,19.689,24.079,21.454,40.567,14.211,21.077,31.159,31.565,18.013,72.379,53.226,21.341,12.507,27.666,26.334,34.073,25.496,23.218,45.815,36.969,40.734
Wyoming,77837,222,30.4,447401,8.273,38.205,40.272,36.867,44.407,37.132,38.623,46.982,38.677,38.674,45.052,45.672,39.93,36.927,20.098,37.827,31.081,17.56,31.757,70.329,55.549,35.65,64.038,32.706,29.7,36.3,26.71,43.585,24.996,30.766,40.55,42.281,24.699,75.25,55.982,34.539,18.806,43.606,33.604,47.875,38.485,34.819,55.671,56.197,51.828
